time,EMG1,EMG2
0.3275,0.0305176,0.180359
0.328,0.0241089,0.239563
0.3285,0.0167847,0.177307
0.329,0.0271606,-0.0613403
0.3295,0.0418091,-0.317383
0.33,0.0494385,-0.280457
0.3305,0.0387573,-0.0701904
0.331,0.0125122,-0.0689697
0.3315,-0.00457764,-0.172729
0.332,-0.010376,-0.224609
0.3325,-0.00335693,-0.104675
0.333,0.0088501,0.0109863
0.3335,0.0183105,-0.0683594
0.334,0.0268555,-0.248718
0.3345,0.0213623,-0.0939941
0.335,0.00732422,0.181885
0.3355,-0.020752,0.371094
0.336,-0.0494385,0.413513
0.3365,-0.062561,0.333557
0.337,-0.0726318,0.262756
0.3375,-0.0802612,0.210571
0.338,-0.0842285,0.200806
0.3385,-0.0854492,0.213318
0.339,-0.0924683,0.19989
0.3395,-0.111694,0.161133
0.34,-0.106812,0.121155
0.3405,-0.0866699,0.0640869
0.341,-0.0613403,-0.0317383
0.3415,-0.0357056,-0.135193
0.342,-0.020752,-0.248108
0.3425,-0.0137329,-0.317383
0.343,-0.00671387,-0.205383
0.3435,-0.00793457,-0.057373
0.344,-0.0146484,0.0869751
0.3445,-0.0158691,0.101013
0.345,-0.03479,0.0454712
0.3455,-0.0415039,-0.010376
0.346,-0.0280762,-0.0726318
0.3465,-0.022583,-0.0692749
0.347,0.0167847,0.0296021
0.3475,0.0457764,0.130615
0.348,0.0454712,0.150757
0.3485,0.0219727,0.0918579
0.349,0.020752,-0.0708008
0.3495,0.0299072,-0.203857
0.35,0.0244141,-0.274963
0.3505,0.000915527,-0.318909
0.351,-0.0283813,-0.305481
0.3515,-0.0469971,-0.164185
0.352,-0.0570679,-0.137939
0.3525,-0.0299072,-0.0720215
0.353,0.00793457,-0.0100708
0.3535,0.0738525,-0.015564
0.354,0.148621,-0.0204468
0.3545,0.192566,-0.0286865
0.355,0.207214,-0.0354004
0.3555,0.207214,0.0161743
0.356,0.188904,0.0350952
0.3565,0.147095,0.0439453
0.357,0.0930786,0.0405884
0.3575,0.0350952,0.0231934
0.358,-0.00610352,0.022583
0.3585,-0.0296021,0.0665283
0.359,-0.0393677,0.0778198
0.3595,-0.0509644,0.0585938
0.36,-0.0704956,0.0485229
0.3605,-0.0732422,0.0643921
0.361,-0.127869,0.0866699
0.3615,-0.19043,0.108948
0.362,-0.226746,0.113831
0.3625,-0.194397,0.102234
0.363,-0.135193,0.0683594
0.3635,-0.0802612,0.0588989
0.364,-0.0354004,0.0805664
0.3645,-0.0131226,0.0747681
0.365,0.0109863,0.0775146
0.3655,0.0167847,0.0219727
0.366,0.00946045,0.0119019
0.3665,0.00671387,0.0671387
0.367,0.00305176,0.0927734
0.3675,-0.00152588,0.10376
0.368,0.00518799,0.12085
0.3685,0.0192261,0.12085
0.369,0.0317383,0.1828
0.3695,0.0567627,0.256958
0.37,0.0613403,0.174255
0.3705,0.0387573,-0.00610352
0.371,0.0436401,-0.106201
0.3715,0.0881958,-0.140686
0.372,0.142517,-0.179443
0.3725,0.131531,-0.239563
0.373,0.0958252,-0.319824
0.3735,0.0817871,-0.366821
0.374,0.0759888,-0.271301
0.3745,0.0534058,-0.132446
0.375,0.0296021,-0.0262451
0.3755,0.00396729,-0.16571
0.376,-0.0106812,-0.306396
0.3765,-0.0231934,-0.104675
0.377,-0.0204468,0.0570679
0.3775,-0.0164795,0.114746
0.378,-0.0106812,0.118103
0.3785,-0.00335693,0.0701904
0.379,-0.00213623,0.0595093
0.3795,-0.000915527,0.334473
0.38,-0.00549316,0.438538
0.3805,-0.00732422,0.270996
0.381,-0.00915527,0.111694
0.3815,-0.00427246,0.0106812
0.382,0.00366211,-0.0396729
0.3825,-0.00823975,-0.050354
0.383,-0.0335693,-0.171814
0.3835,-0.0637817,-0.292969
0.384,-0.0802612,-0.119324
0.3845,-0.0839233,0.03479
0.385,-0.0750732,0.0881958
0.3855,-0.0561523,0.0543213
0.386,-0.0363159,-0.149536
0.3865,-0.0308228,-0.19165
0.387,-0.0363159,-0.0512695
0.3875,-0.0326538,-0.0195313
0.388,-0.0234985,-0.0494385
0.3885,-0.0134277,-0.0292969
0.389,-0.0241089,0.0146484
0.3895,-0.043335,0.0311279
0.39,-0.057373,0.0268555
0.3905,-0.0482178,0.0457764
0.391,-0.0357056,0.117493
0.3915,-0.0314331,0.124817
0.392,-0.0256348,0.111694
0.3925,-0.020752,-0.00701904
0.393,-0.0198364,-0.015564
0.3935,-0.0265503,0.131531
0.394,-0.0177002,0.21698
0.3945,-0.0128174,0.218201
0.395,-0.000610352,0.149841
0.3955,0.0112915,0.0787354
0.396,0.0244141,-0.0149536
0.3965,0.0164795,-0.20874
0.397,0.00335693,-0.280457
0.3975,0.00640869,-0.470581
0.398,0.0198364,-0.514832
0.3985,0.0210571,-0.110168
0.399,0.0296021,0.0640869
0.3995,0.0500488,0.0210571
0.4,0.06073,-0.0488281
0.4005,0.0604248,-0.136108
0.401,0.0650024,-0.127869
0.4015,0.0723267,-0.0595093
0.402,0.0769043,0.0518799
0.4025,0.0820923,0.144653
0.403,0.107422,0.136719
0.4035,0.130005,0.0570679
0.404,0.129089,0.00518799
0.4045,0.0997925,-0.0662231
0.405,0.067749,-0.124207
0.4055,0.0442505,-0.100708
0.406,0.0222778,-0.032959
0.4065,-0.00213623,0.0515747
0.407,-0.0323486,0.0933838
0.4075,-0.0482178,0.124512
0.408,-0.0549316,0.125122
0.4085,-0.0546265,0.100708
0.409,-0.062561,0.0839233
0.4095,-0.0823975,0.0747681
0.41,-0.0952148,0.0997925
0.4105,-0.0979614,0.138245
0.411,-0.0769043,0.106201
0.4115,-0.043335,-0.043335
0.412,-0.00640869,-0.112305
0.4125,0.0149536,-0.0296021
0.413,0.0219727,0.0509644
0.4135,0.0436401,0.0671387
0.414,0.0534058,0.0177002
0.4145,0.0378418,-0.0390625
0.415,0.0152588,-0.0146484
0.4155,0.000915527,0.0268555
0.416,-0.0012207,0.0390625
